# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

113.130.112.0/21 Deny Cloud
114.66.80.0/23 Deny Cloud
114.113.204.0/22 Deny Cloud
115.172.0.0/19 Deny Cloud
115.172.96.0/19 Deny Cloud
115.175.0.0/16 Deny Cloud
115.190.0.0/15 Deny Cloud
116.90.184.0/21 Deny Cloud
116.213.96.0/19 Deny Cloud
116.215.0.0/16 Deny Cloud
117.78.64.0/18 Deny Cloud
117.78.128.0/17 Deny Cloud
117.103.16.0/20 Deny Cloud
118.196.0.0/16 Deny Cloud
118.197.0.0/17 Deny Cloud
119.78.0.0/15 Deny Cloud
119.232.0.0/16 Deny Cloud
119.233.0.0/17 Deny Cloud
121.58.144.0/20 Deny Cloud
121.68.0.0/16 Deny Cloud
122.200.104.0/24 Deny Cloud
124.15.0.0/17 Deny Cloud
124.16.0.0/15 Deny Cloud
124.203.176.0/20 Deny Cloud
124.203.224.0/22 Deny Cloud
124.204.0.0/17 Deny Cloud
150.242.4.0/22 Deny Cloud
159.226.0.0/16 Deny Cloud
175.189.0.0/16 Deny Cloud
175.191.128.0/18 Deny Cloud
180.88.0.0/18 Deny Cloud
180.90.0.0/17 Deny Cloud
180.91.160.0/19 Deny Cloud
202.38.128.0/23 Deny Cloud
202.90.224.0/21 Deny Cloud
202.122.32.0/21 Deny Cloud
202.127.0.0/21 Deny Cloud
202.127.16.0/20 Deny Cloud
202.127.144.0/20 Deny Cloud
202.127.160.0/21 Deny Cloud
202.127.200.0/21 Deny Cloud
202.152.176.0/22 Deny Cloud
202.152.184.0/22 Deny Cloud
203.83.56.0/21 Deny Cloud
210.72.0.0/17 Deny Cloud
210.72.128.0/19 Deny Cloud
210.73.0.0/18 Deny Cloud
210.74.192.0/19 Deny Cloud
210.75.160.0/19 Deny Cloud
210.75.224.0/19 Deny Cloud
210.76.192.0/19 Deny Cloud
210.77.0.0/19 Deny Cloud
210.77.64.0/19 Deny Cloud
211.147.192.0/20 Deny Cloud
211.156.64.0/20 Deny Cloud
211.156.160.0/20 Deny Cloud
211.157.24.0/22 Deny Cloud
211.161.120.0/21 Deny Cloud
211.161.144.0/20 Deny Cloud
211.161.160.0/19 Deny Cloud
211.162.48.0/20 Deny Cloud
211.162.234.0/23 Deny Cloud
211.167.160.0/20 Deny Cloud
218.244.64.0/19 Deny Cloud
219.235.128.0/19 Deny Cloud
220.113.64.0/18 Deny Cloud
220.115.0.0/21 Deny Cloud
220.115.144.0/20 Deny Cloud
220.115.160.0/19 Deny Cloud
223.192.0.0/15 Deny Cloud
223.208.128.0/17 Deny Cloud
223.209.128.0/17 Deny Cloud
223.211.0.0/17 Deny Cloud
Tag: CST-NET


# ASN 20248 ("Take 2 Hosting, Inc").
# %Listed, Google Malware Dashboard: 15.61%.
# %Listed, CleanTalk.org: 47.19%.
# Stop Forum Spam (SFS) listings: 56.
# Updated: 2017.07.12

23.231.128.0/17 Deny Cloud
50.115.128.0/20 Deny Cloud
74.82.160.0/19 Deny Cloud
107.163.0.0/16 Deny Cloud
173.252.192.0/18 Deny Cloud
198.144.240.0/20 Deny Cloud
204.74.208.0/20 Deny Cloud
Tag: Take 2 Hosting, Inc


# ASN 46573 ("Global Frag Networks").
# %Listed, Google Malware Dashboard: 3.91%.
# %Listed, CleanTalk.org: 49.98%.
# Stop Forum Spam (SFS) listings: 9,712.
# Updated: 2017.07.12

23.228.64.0/18 Deny Cloud
23.247.0.0/17 Deny Cloud
103.70.184.0/22 Deny Cloud
103.73.156.0/24 Deny Cloud
103.91.106.0/23 Deny Cloud
103.92.210.0/23 Deny Cloud
104.148.0.0/17 Deny Cloud
104.223.128.0/17 Deny Cloud
107.179.0.0/20 Deny Cloud
107.179.16.0/23 Deny Cloud
107.179.18.0/24 Deny Cloud
107.179.20.0/22 Deny Cloud
107.179.24.0/21 Deny Cloud
107.179.32.0/20 Deny Cloud
107.179.48.0/23 Deny Cloud
107.179.51.0/24 Deny Cloud
107.179.52.0/22 Deny Cloud
107.179.57.0/24 Deny Cloud
107.179.58.0/23 Deny Cloud
107.179.60.0/22 Deny Cloud
107.179.64.0/19 Deny Cloud
107.179.96.0/21 Deny Cloud
107.179.104.0/22 Deny Cloud
107.179.108.0/24 Deny Cloud
107.179.110.0/23 Deny Cloud
107.179.112.0/22 Deny Cloud
107.179.116.0/23 Deny Cloud
107.179.119.0/24 Deny Cloud
107.179.120.0/21 Deny Cloud
157.52.128.0/17 Deny Cloud
182.255.36.0/22 Deny Cloud
185.194.218.0/23 Deny Cloud
185.197.192.0/22 Deny Cloud
192.48.32.0/24 Deny Cloud
192.200.192.0/19 Deny Cloud
Tag: Global Frag Networks


# ASN 54600 ("PEG TECH INC").
# %Listed, Google Malware Dashboard: 5.28%.
# %Listed, CleanTalk.org: 32.26%.
# Stop Forum Spam (SFS) listings: 1,443.
# Updated: 2017.06.28

104.192.83.0/24 Deny Cloud
104.192.84.0/24 Deny Cloud
